source_id_1,vx,vy,vz,En,Lz,flag,apogee,feh,alpha,flag_abund
61047157615088256,-25.76171381,222.05426049,29.77708269,-155526.22901769,2298.72588196,0,2M03253760+2050536,-0.3120152,0.08168884,1
65723380567903104,-1.41074827,222.42483583,27.88763169,-152480.05068339,2477.46506096,0,2M03531303+2352226,-0.27675867,0.05705806,1
66570932234426112,-52.63990272,213.20608514,10.6946833,-159300.9526126,2120.1359587,0,2M03532875+2407032,0.26334137,0.02639342,1
67139104867760384,23.51529208,232.14981729,34.81737053,-150036.43605545,2578.78521227,0,2M03592264+2531442,-0.25005868,0.05636431,1
73621275666889344,-122.51261898,-15.88669849,7.27707243,-176382.52193616,-119.02247263,2,2M02101132+1222103,-0.9851872,0.09393411,3
120390510287264384,-33.96930531,-30.07451694,-34.44089568,-185220.35347195,-181.54489858,1,2M03401629+3045191,-0.32740757,0.19633152,1
121044273029700864,38.15513581,213.09518758,1.20338599,-155978.177809,2329.83403193,0,2M03342165+3014294,-0.15067984,0.06083532,1
121121960397934848,-39.30723679,209.36025184,-45.9822234,-161398.98053374,2018.42100058,0,2M03330087+3049431,-0.01301047,0.04407619,1
124641260896402432,144.0816125,-21.10424369,61.01028479,-169098.73534476,23.41444814,2,2M03285931+3240579,-0.4045148,0.25983334,2
142920160672226432,-24.07143767,236.96048634,3.93110818,-152875.85034114,2425.90324382,0,2M03040857+3908470,-0.11531722,0.07057495,1
148992625953529216,33.2282302,143.3773946,-302.31237954,-129392.56285455,1430.27197842,1,2M04132788+2314474,-1.9106994,0.3382487,1
150076229022420096,-26.51413838,200.18919725,18.26127664,-164927.07368738,1935.55771525,0,2M04120669+2438416,0.02074872,-0.03357952,1
158841054682233600,-20.92407022,41.81503662,-94.72678189,-176527.17575336,542.22418794,1,2M04332067+2912569,-0.55281395,0.21461491,1
181487730040472960,-2.72222081,228.12618138,-30.18377796,-159313.37922091,2169.91562764,0,2M05105347+3239099,0.41327655,0.02940707,1
181817136853185536,-35.05182912,235.69595861,7.79293406,-149670.4590645,2613.75675775,0,2M05084590+3349480,-0.12401032,0.02147437,1
187423954665380736,36.52813991,213.31838484,-7.46199164,-154063.99095672,2447.64103194,0,2M05130489+3805543,0.00177576,0.13350606,1
200633938334634624,23.29340391,187.6864632,7.14662292,-162766.02156837,2041.78201839,0,2M05061225+4014024,-0.17277317,0.06258871,1
213294299330804736,45.35528666,-43.38456224,-7.36196834,-179265.74035,-296.73375163,2,2M05151752+4845027,-1.1302514,0.31188396,2
216707801896654848,-92.54971595,-26.13172843,-33.93531005,-184199.39602543,-142.81160318,1,2M03451097+3221007,-0.64773345,0.20612362,1
217408568760296448,11.7642958,219.70384717,21.91860665,-163273.33879987,2011.61699282,0,2M03394041+3220052,0.11530872,-0.01040977,1
223768281455545856,-7.58486198,220.21395175,-6.86023032,-155845.9355499,2348.99044587,0,2M03530128+3911253,-0.16060157,0.03177341,1
225286290399220736,24.27615464,246.98895218,-10.74071174,-155435.11915647,2306.36833221,0,2M04074282+3630577,0.16996314,-0.0036892,1
228816654735648000,-0.2238099,213.08500697,16.28441223,-163643.67612088,2011.10921563,0,2M04173899+4213591,-0.12447301,0.00718344,1
247734061529888896,31.9849103,222.30427857,13.26317103,-159494.75967951,2177.2164481,0,2M03375564+4528419,-0.05359506,0.0142064,1
256213868863016448,14.43701358,246.94896735,-11.35003229,-148612.68819603,2677.18815605,0,2M04551873+4837536,-0.40287155,0.07732056,1
286133749214665600,153.97066353,8.19619883,85.73255091,-172903.9777095,234.54276631,1,2M05344036+6133226,-0.5504137,0.07222359,2
333414879511639552,-10.62207717,214.08240696,21.01205828,-164466.72193207,1963.57291816,0,2M02400515+3640471,0.22879347,-0.01105711,1
333960370422345088,36.96534134,202.73501731,-2.45507598,-163179.91601884,2019.58233649,0,2M02421704+3823157,0.13587044,-0.03844124,1
354148095398588672,-146.41519609,-23.84742531,-5.44536326,-173593.65002655,-285.70825618,2,2M02303185+4730332,-1.4937866,0.30330282,3
416053383183566976,88.99836003,210.12042581,9.61142222,-160017.84792182,2070.83547625,0,2M00391180+5153440,-0.13601027,-0.00793542,1
419727431348299392,77.09277685,192.88439396,-15.92763241,-162849.30280229,2006.0032078,0,2M00214545+5424262,0.1496934,-0.00245488,1
421650648984507648,64.10566476,233.49008335,7.95497436,-155290.90639366,2329.43382728,0,2M00305055+5556133,-0.01178828,-0.03445189,1
421773351913982464,41.61131928,209.29633304,-3.28285347,-165166.68193591,1932.79743255,0,2M00260870+5654473,0.23519336,0.00150687,1
424242816369142912,36.47573648,186.51734106,-21.63305234,-164373.82561823,1968.65541483,0,2M00540883+5728578,0.13115078,0.01350225,1
425933732114877184,-23.76738818,215.11346242,4.56396131,-164091.59276821,1968.51242702,0,2M00573138+5900402,0.14497873,-0.02144318,1
454457984314449664,22.47553539,-71.57873296,134.7013235,-175480.67170666,-540.58833502,2,2M02491285+5534213,-1.8081014,0.18776813,3
464289886009924736,-32.93367209,138.43394404,-45.7035141,-174225.12869549,1369.6308851,0,2M02372419+5929402,0.24633065,0.03875767,1
477896853499742336,53.07488793,223.53259037,13.58947766,-156588.02121696,2285.41967216,0,2M04525961+6241182,0.20930019,-0.02496098,1
487634437712204928,47.10722745,186.96770746,-3.59088102,-162721.39172116,2041.18759852,0,2M03302996+6305373,0.37815478,-0.00262695,1
490364181485510912,67.93542135,244.33882329,7.53937277,-148135.97147204,2645.62189117,0,2M04093798+6707437,-0.43552446,0.01717759,1
490866662597574272,18.5941873,220.94013063,-18.46848379,-157928.17879184,2251.16294676,0,2M04173904+6857054,0.38374478,-0.00323791,1
529662689868610944,10.05680588,198.18373275,5.83704731,-164684.63043226,1962.03827645,0,2M00314064+6853055,0.16900758,-0.02007226,1
531232345794675072,-37.03836697,172.68650505,-7.35966911,-172323.95308542,1589.28694864,0,2M00022453+7046515,0.1884984,-0.00215579,1
535803634106087680,71.86750003,241.33082352,-40.35647407,-148849.45348565,2579.99310978,0,2M01214244+7418093,-0.26474303,0.06395683,1
536290820838520832,26.08462936,228.68618017,-20.33390869,-160784.91966344,2104.21799042,0,2M00333037+7052066,0.13748126,0.00610284,1
544027809281308544,-157.3917588,101.89779972,-56.31011984,-170925.61647934,951.82081606,1,2M03183846+7216305,-0.6859746,0.07574759,1
556097453359674752,15.06695277,162.84458992,3.91240851,-171412.24554878,1634.1631369,0,2M04021869+8026404,0.22760473,0.02218467,1
573254988713740544,5.79865081,-8.72132378,-128.72419689,-181103.26457604,32.60324961,1,2M01090173+8355445,-2.0262344,0.34764415,1
573557736666992640,-186.81425088,142.10188764,-77.89147101,-151684.27848026,1129.9602042,1,2M00413078+8502123,-0.67570144,0.24195433,1
604921512005266048,-37.00116098,220.55296613,-13.49510106,-160575.49681207,2107.74825724,0,2M08512618+1153520,0.07436152,-0.00587659,1
